Wavelength (Angstroms), Normalized intensity, Element
670.52522, 0.46827321, 
670.57004, 0.49206526, 
670.61486, 0.53178969, 
670.65968, 0.62197230, 
670.70450, 0.58479589, 
670.74932, 0.60205087, 
670.79414, 0.71672188, 
670.83896, 0.77218660, 
670.88378, 0.90929496, 
670.92860, 1.0557113, 
670.97342, 1.0453662, 
671.01824, 0.95712901, N II
671.06306, 0.91573266, 
671.10788, 0.84069546, 
671.15270, 0.85847875, 
671.19752, 1.1101275, 
671.24234, 1.3637356, 
671.28716, 1.9056989, 
671.33198, 2.5124314, 
671.37680, 2.5424909, Cl VI
671.42162, 2.0322158, N II
671.46644, 1.4872240, 
671.51126, 1.0988992, 
671.55608, 1.0070377, 
671.60090, 0.92679515, 
671.64573, 0.90166689, N II
671.69055, 1.0504196, 
671.73537, 1.1262020, 
671.78019, 1.0885770, N II
671.82501, 0.95454389, 
671.86983, 0.81969315, 
671.91466, 0.86415614, 
671.95948, 0.98136075, 
672.00430, 0.88646454, N II
672.04912, 0.80993208, 
672.09394, 0.66199738, 
672.13877, 0.66867045, 
672.18359, 0.60157634, 
672.22841, 0.64282071, 
672.27324, 0.61899654, 
672.31806, 0.64355317, 
672.36288, 0.52557024, 
672.40770, 0.49374537, 
672.45253, 0.53530734, 
672.49735, 0.57259097, 
672.54217, 0.58358112, 
672.58700, 0.53617385, 
672.63182, 0.55646576, 
672.67664, 0.54592195, 
672.72147, 0.67971653, 
672.76629, 0.85923477, 
672.81112, 0.99616420, 
672.85594, 1.3600859, 
672.90076, 1.5062844, 
672.94559, 1.2186632, 
672.99041, 1.2174174, 
673.03524, 0.86674471, 
673.08006, 0.73595708, 
673.12488, 0.57169038, 
673.16971, 0.58325291, 
673.21453, 0.58327245, 
673.25936, 0.61081981, 
673.30418, 0.64491131, 
673.34901, 0.63610721, 
673.39383, 0.55858165, 
673.43866, 0.63927575, 
673.48348, 0.60784979, 
673.52831, 0.57071061, 
673.57314, 0.53735205, 
673.61796, 0.60235510, 
673.66279, 0.74576398, 
673.70761, 0.96368800, 
673.75244, 1.1032582, 
673.79726, 1.0250908, 
673.84209, 0.83462208, 
673.88692, 0.68680462, 
673.93174, 0.69586824, 
673.97657, 0.63469594, 
674.02140, 0.52554206, 
674.06622, 0.55639787, 
674.11105, 0.51191254, 
674.15588, 0.57601227, 
674.20070, 0.65007148, 
674.24553, 0.69411149, 
674.29036, 0.79578447, 
674.33518, 0.80647275, 
674.38001, 0.86584420, 
674.42484, 0.91836273, S V
674.46967, 0.90103961, 
674.51449, 0.86343705, 
674.55932, 0.74262013, 
674.60415, 0.59463627, 
674.64898, 0.64143370, 
674.69380, 0.52612736, 
674.73863, 0.60673567, 
674.78346, 0.63604219, 
674.82829, 0.59849604, 
674.87312, 0.61653775, 
674.91794, 0.62759479, 
674.96277, 0.61629964, 
675.00760, 0.58842478, 
675.05243, 0.52398019, 
675.09726, 0.60933937, 
675.14209, 0.71240869, 
675.18692, 0.62168393, 
675.23175, 0.57931964, 
675.27657, 0.58983016, 
675.32140, 0.59793420, 
675.36623, 0.65436980, 
675.41106, 0.62912041, 
675.45589, 0.65468315, 
675.50072, 0.62525575, 
675.54555, 0.59850753, 
675.59038, 0.60672776, 
675.63521, 0.64532247, 
675.68004, 0.64190038, 
675.72487, 0.64762034, 
675.76970, 0.61758113, 
675.81453, 0.70302523, 
675.85936, 0.58895751, 
675.90419, 0.69343705, 
676.06385, 0.66816059, 
676.06902, 0.68017026, 
676.11664, 0.69901948, 
676.16147, 0.67733711, 
676.20630, 0.72505550, 
676.25113, 0.82058946, 
676.29596, 0.85779260, 
676.34079, 1.0491759, 
676.38562, 1.4420677, 
676.43046, 1.7882861, 
676.47529, 2.0279962, Si IX
676.52012, 2.0496475, 
676.56495, 1.7284071, 
676.60978, 1.4036953, 
676.65462, 1.0517937, 
676.69945, 1.1465980, 
676.74428, 1.3603264, 
676.78911, 1.4671433, 
676.83395, 1.3685347, 
676.87878, 1.1520188, 
676.92361, 0.74742047, 
676.96844, 0.75851632, 
677.01328, 0.64849099, 
677.05811, 0.58935639, 
677.10294, 0.61666700, 
677.14778, 0.54541414, 
677.19261, 0.68805905, 
677.23744, 0.69990592, 
677.28228, 0.66119265, 
677.32711, 0.69273401, 
677.37194, 0.67840792, 
677.41678, 0.69017992, 
677.46161, 0.66436005, 
677.50644, 0.65301240, 
677.55128, 0.73494282, 
677.59611, 0.90669092, 
677.64095, 1.2516002, 
677.68578, 1.6912291, 
677.73062, 1.9578412, S III
677.77545, 1.7619155, 
677.82029, 1.4363792, 
677.86512, 1.0793678, 
677.90995, 0.84785943, 
677.95479, 0.83383560, 
677.99962, 0.81642402, 
678.04446, 0.72939220, 
678.08929, 0.75807878, 
678.13413, 0.73920271, 
678.17897, 0.71347690, 
678.22380, 0.87789769, 
678.26864, 0.80250537, 
678.31347, 0.98720495, 
678.35831, 1.5423397, 
678.40314, 2.4294298, 
678.44798, 2.7302160, S III
678.49282, 2.4034425, 
678.53765, 1.7406333, 
678.58249, 1.1343838, 
678.62732, 0.89547464, 
678.67216, 0.83523109, 
678.71700, 0.75660168, 
678.76183, 0.68451477, 
678.80667, 0.85449183, 
678.85151, 0.81918464, 
678.89634, 0.84958137, 
678.94118, 0.86254842, 
678.98602, 0.95085715, 
679.03086, 1.3009139, 
679.07569, 1.5660791, 
679.12053, 1.5471603, S III
679.16537, 1.3562303, 
679.21021, 0.97443762, 
679.25504, 0.81871529, 
679.29988, 0.78194322, 
679.34472, 0.83675410, 
679.38956, 0.82651000, 
679.43440, 0.71536488, 
679.47923, 0.74885753, 
679.52407, 0.76067146, 
679.56891, 0.66920627, 
679.61375, 0.77043564, 
679.65859, 0.75307978, 
679.70343, 0.81461428, 
679.74826, 0.83923381, Mg VIII
679.79310, 0.91060055, 
679.83794, 0.95984455, 
679.88278, 0.89290121, 
679.92762, 0.86923040, 
679.97246, 0.97923501, 
680.01730, 1.1381952, 
680.06214, 1.1401988, 
680.10698, 1.1531579, 
680.15182, 1.4124899, 
680.19666, 1.6958722, 
680.24150, 2.2635284, 
680.28634, 3.1131682, 
680.33118, 3.8464395, 
680.37602, 4.1791048, Al IX
680.42086, 3.7450940, 
680.46570, 3.5516505, 
680.51054, 3.0819379, 
680.55538, 3.6785810, 
680.60022, 5.6316577, 
680.64506, 6.8864507, 
680.68990, 7.6767988, S III
680.73474, 6.9307741, 
680.77958, 4.6522231, 
680.82442, 3.6864073, 
680.86926, 3.6836515, 
680.91410, 4.0442546, 
680.95895, 4.3779573, S III
681.00379, 3.9906983, 
681.04863, 3.1237862, 
681.09347, 2.2687342, 
681.13831, 1.7780176, 
681.18315, 1.6645883, 
681.22800, 1.6586876, 
681.27284, 1.5983166, 
681.31768, 1.6924940, 
681.36252, 1.8712175, 
681.40736, 2.1557555, 
681.45221, 2.6679412, 
681.49705, 3.4541635, S III
681.54189, 5.1569742, 
681.58673, 7.4658133, 
681.63158, 9.9911603, 
681.67642, 11.889903, Na IX
681.72126, 11.460745, 
681.76611, 9.0392260, 
681.81095, 5.7726767, 
681.85579, 3.2700431, 
681.90064, 2.0481616, 
681.94548, 1.5668181, 
681.99032, 1.2791973, 
682.03517, 1.3286345, 
682.08001, 1.3890016, 
682.12485, 1.1894258, 
682.16970, 1.3327727, 
682.21454, 1.2870883, 
682.25939, 1.4188332, 
682.30423, 1.2433854, 
682.34907, 1.3066489, 
682.39392, 1.2456129, 
682.43876, 1.2227938, 
682.48361, 1.2824393, 
682.52845, 1.2312348, 
682.57330, 1.1957295, 
682.61814, 1.2183281, 
682.66299, 1.3113221, 
682.70783, 1.3287737, 
682.75268, 1.2327055, 
682.79752, 1.2674137, 
682.84237, 1.3134263, 
682.88721, 1.4402035, 
682.93206, 1.4766779, 
682.97690, 1.4897757, 
683.02175, 1.6748424, 
683.06659, 1.6874534, S III
683.11144, 1.6920873, 
683.15629, 1.4970490, 
683.20113, 1.4760909, 
683.24598, 1.5208146, 
683.29083, 1.4686415, 
683.33567, 1.6275813, 
683.38052, 1.9393563, 
683.42536, 2.5471726, 
683.47021, 3.5974693, 
683.51506, 4.7615479, S III
683.55990, 5.6725546, 
683.60475, 5.2434677, 
683.64960, 4.0854766, 
683.69445, 2.5582403, 
683.73929, 1.7736355, 
683.78414, 1.5425958, 
683.82899, 1.2981657, 
683.87384, 1.4620598, 
683.91868, 1.5645629, 
683.96353, 1.5020059, 
684.00838, 1.7622506, 
684.05323, 1.8297555, 
684.09807, 1.5036472, 
684.14292, 1.5791573, 
684.18777, 1.3328701, 
684.23262, 1.1805221, 
684.27747, 1.3248637, 
684.32232, 1.2430608, 
684.36716, 1.2096387, 
684.41201, 1.3835558, 
684.45686, 1.2983753, 
684.50171, 1.3726913, 
684.54656, 1.5937055, 
684.59141, 1.6800644, 
684.63626, 1.5921384, 
684.68111, 2.0794381, 
684.72596, 2.2036890, 
684.77081, 2.4561198, 
684.81565, 3.4200618, 
684.86050, 5.7023629, 
684.90535, 9.6133263, 
684.95020, 12.067198, 
684.99505, 11.879610, N III
685.03990, 9.5134814, 
685.08475, 6.1802843, 
685.12960, 3.7024928, 
685.17445, 2.4475087, 
685.21930, 2.0176889, 
685.26415, 2.3735926, 
685.30901, 3.5416919, 
685.35386, 6.2271823, 
685.39871, 11.496368, 
685.44356, 18.552030, 
685.48841, 23.731122, N III
685.53326, 23.310549, 
685.57811, 17.763120, 
685.62296, 14.607958, 
685.66781, 19.414493, 
685.71266, 32.361402, 
685.75752, 47.443753, 
685.80237, 54.574419, N III
685.84722, 48.941771, 
685.89207, 33.057854, 
685.93692, 17.382559, 
685.98178, 8.0660000, 
686.02663, 3.9299139, 
686.07148, 2.4713631, 
686.11633, 2.2550253, 
686.16118, 3.0351580, 
686.20604, 5.0194867, 
686.25089, 7.9310667, 
686.29574, 11.320904, 
686.34059, 12.798427, N III
686.38545, 11.149845, 
686.43030, 7.9228970, Fe VIII
686.47515, 4.8465589, 
686.52001, 2.8353318, 
686.56486, 1.9775849, 
686.60971, 1.6376161, 
686.65457, 1.5746122, 
686.69942, 1.5715368, 
686.74427, 1.7181785, 
686.78913, 1.7752294, 
686.83398, 2.0772060, 
686.87883, 2.6512361, 
686.92369, 3.9884353, 
686.96854, 5.6198328, 
687.01340, 7.2120673, 
687.05825, 7.6375268, C II
687.10311, 6.2895438, 
687.14796, 4.8726385, 
687.19281, 4.8035374, 
687.23767, 6.7724531, 
687.28252, 10.335647, 
